Date time,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Resource_Allocation
2023-07-10 04:37:49,USER_7023,Streaming,-112,167,14,47
2023-09-04 09:21:08,USER_9847,Navigation,-78,89,75,29
2023-10-21 10:52:14,USER_9712,Appel Vidéo,-93,6,77,18
2023-02-21 15:23:44,USER_4859,Appel Vidéo,Invalid,146,74,23
2023-01-12 05:33:12,USER_4692,Navigation,-82,138,,
2024-06-24 01:56:40,USER_6188,Inconnu,-53,42,68,40
2023-03-08 02:47:55,USER_8775,,-52,98,24,45
2022-04-24 05:21:39,USER_6750,Inconnu,-119,54,32,40
2023-03-25 04:05:42,USER_5131,Appel Vidéo,-111,85,42,80
2023-01-31 23:28:45,USER_4261,Appel Vidéo,-40,261,40,44
2023-01-16 11:36:16,USER_2940,Appel Vidéo,-66,,27,88
2023-04-03 16:28:26,USER_3994,,-90,,80,52
2022-10-08 22:47:24,USER_2086,Inconnu,-82,26,91,11
2023-10-15 00:15:11,USER_2662,Inconnu,-105,200,73,1
2022-05-14 23:55:59,USER_1848,,-78,139,57,1
2023-06-26 00:24:26,USER_5047,Streaming,,226,84,
2023-10-03 01:14:25,USER_9894,Appel Vidéo,-67,202,37,
2022-11-20 14:18:43,USER_5570,IoT,-45,-10,83,9
2022-10-30 13:03:21,USER_5562,Streaming,Invalid,274,30,83
2023-05-11 15:27:15,USER_7051,Appel Vidéo,,203,9999,45
2022-08-05 01:32:45,USER_6806,Streaming,-55,156,9999,88
2021-12-21 07:06:27,USER_6983,Appel Vidéo,-86,Error,,35
2024-08-23 16:21:30,USER_6856,,-54,9,76,14
2024-10-13 18:00:13,Duplicate,IoT,-47,124,46,46
2022-08-05 07:41:43,USER_7159,IoT,-44,-10,-5,31
2024-05-23 15:00:00,,Streaming,-90,276,40,
2022-09-08 17:03:41,USER_2076,Streaming,-56,270,4,39
2024-03-14 04:51:33,USER_7249,IoT,-61,114,44,3
2023-09-13 00:25:42,USER_6944,Appel Vidéo,-93,190,N/A,150
2024-02-07 11:24:51,USER_8943,Streaming,-45,128,30,61
2023-06-03 01:41:42,USER_5382,,-51,291,91,98
2024-11-01 12:24:43,USER_3830,Inconnu,-200,199,9999,70
2023-10-03 19:08:58,USER_8996,,Invalid,119,85,55
2024-09-20 05:56:44,USER_2180,Navigation,-109,112,90,28
2022-07-19 20:41:26,Duplicate,Streaming,-89,82,11,72
2022-09-15 13:23:07,USER_4872,,-56,,56,15
