Date,User_ID,Location,Application_Type,Signal_Strength,Latency,User_Satisfaction,Download_Speed,Upload_Speed,Resource_Allocation
2023-12-13,D7RPH7X5,"Houston, TX",Social Media,-32.022273762413676,212.0,1.0,993.9655894464524,459.8084012020151,113.85401386667726
2019-07-22,Z5PRHN8D,"New York, NY",Video Call,,208.0,4.0,,582.8285510558806,45.480529296598554
2020-08-12,Y66D1AG8,"Chicago, IL",Video Call,-52.50709917662192,388.0,3.0,828.887715537343,72.81775768904559,3.294297926329337
2021-01-18,7CM8Q637,"New York, NY",Streaming,,247.0,4.0,960.3233297352186,549.421199018554,16.437113405500973
2022-02-27,4DKYX8GZ,"San Jose, CA",Other,-93.64727037582364,386.0,2.0,359.74606558092364,378.2992057244159,32.92966346068772
2022-09-05,0BHIZLBA,"Chicago, IL",Other,-31.419685350307375,325.0,5.0,434.06489730928706,203.17808295612616,22.31091993345377
2021-03-13,51YX0F3L,"Los Angeles, CA",Streaming,-79.35704135558237,150.0,1.0,300.8918822284953,122.19360769423895,117.48882864503415
2022-03-13,0PDP9QZH,"San Diego, CA",Streaming,-107.20004344504744,103.0,4.0,104.23175974914204,563.5100962137174,
2020-04-27,LX4HHIUS,"San Diego, CA",Other,-87.06088128859412,293.0,3.0,939.0750590022013,394.0594026424319,82.63449611454034
2020-06-03,Z95XR448,"Philadelphia, PA",Gaming,-107.42575722654132,158.0,1.0,178.09298957923087,526.4564151776467,38.06880843763248
2022-08-21,HHBCLUQN,"Philadelphia, PA",Browsing,-94.07197998511155,125.0,1.0,223.290976892189,197.67393802770334,149.42527183095825
2022-11-28,LOK2PFNO,"Los Angeles, CA",Social Media,-70.9240788199582,20.0,4.0,76.33789346081423,114.48904704781755,16.72657007666036
2022-05-09,8P4ID8LS,"Houston, TX",Video Call,-89.70001271293258,,4.0,875.3270365226319,283.78956607527806,82.80638815303827
2020-07-25,IRN3GVK6,"Chicago, IL",Video Call,-53.66542740204642,,5.0,342.0436690431981,88.43752555581916,42.7908711024622
2019-11-24,SH375LYR,"Dallas, TX",Other,-84.39027573566386,356.0,4.0,476.784672123637,440.5671978631599,118.77844882158605
2021-12-05,9UVPXUK9,"San Diego, CA",Browsing,-44.36096708025562,,5.0,224.6010646243326,133.97862887332377,120.15706537911107
2023-02-04,04CNI0SS,"San Diego, CA",Video Call,,112.0,4.0,273.9433515538681,415.4143191296933,100.49538115500438
2019-04-05,WB1PJ0JI,"Los Angeles, CA",Streaming,-24.629936296300812,385.0,2.0,609.3326674871136,433.14032451892155,
2021-08-30,IMYO1OZB,"Dallas, TX",Streaming,-52.01100206355659,66.0,2.0,463.5485187092613,97.6003833775237,79.37679451449003
2023-12-24,VNE7O2WD,"Phoenix, AZ",Other,,374.0,2.0,790.6581580541953,,88.96061933163836
2022-03-11,S7J0O52G,"Los Angeles, CA",Streaming,-45.667006609004346,362.0,2.0,1092.4679958607735,92.02295511431397,93.38524235967579
