Date,User_ID,Location,Application_Type,Signal_Strength,Latency,User_Satisfaction,Download_Speed,Upload_Speed,Resource_Allocation
2020-01-12,PrNp7Wpt,"San Antonio, TX",Gaming,-87.16822298149901,202.0,5,659.2398242408774,482.2219802308168,84.74967680366777
2021-08-15,EYRpvt4F,"Phoenix, AZ",Gaming,-35.0659135066264,184.0,1,389.1012304784055,488.86686387363704,16.784435489529248
2019-07-15,N0WUsT6P,"Phoenix, AZ",File Download,-85.28380756177191,22.0,3,531.5370566985507,444.02908318882334,10.448552242040886
2023-06-28,01H3787h,"Philadelphia, PA",File Download,-89.73279554740034,175.0,3,350.3013502766249,,50.62909182644225
2019-10-14,UoNkYs94,"Houston, TX",Gaming,-113.7313824691872,226.0,4,,236.7356828650747,-68.79182917113232
2021-08-30,BlXH3b3h,"Houston, TX",File Download,,71.0,2,,211.26027760704292,25.641515920844114
2022-10-01,kj8zygyd,"New York, NY",VoIP,115.90715889408675,259.0,2,-457.35552575390005,292.3911279601074,77.71518424654835
2019-02-17,7myh5wFF,"Dallas, TX",Web Browsing,-40.99812152065296,114.0,2,174.1718847580943,170.26861104581508,13.426621053410127
2023-03-07,Wio4uE6Z,"San Jose, CA",VoIP,-83.42566416989843,292.0,1,641.034143017647,108.33085771447692,43.3268833165292
2022-08-14,kuxYLTq8,"San Diego, CA",VoIP,-47.352472958278355,32.0,3,790.3658140251063,232.34355754349778,11.640588015323061
2023-05-29,Dl1uXbJh,"Dallas, TX",Gaming,-67.03085835740464,55.0,5,729.4122195451301,122.26528460867797,78.87713183795904
2020-09-09,rd2YqSGO,,Social Media,-94.93840884249371,7.0,4,166.9850259115202,496.4425182622915,10.4501967354791
2019-11-05,K0LHu43p,"Phoenix, AZ",Gaming,,172.0,3,131.33560048163127,405.92989390618584,16.30733007968145
2023-02-25,lpbvbPiO,"San Jose, CA",,-35.4561983390161,26.0,5,335.4186463960537,76.88172470159998,42.13917507605069
2023-08-29,GBtUbv4S,"Philadelphia, PA",File Download,-66.62615209564441,274.0,2,-271.5151200230285,444.5275710351948,73.0112153730204
