Date,Id_utilisateur,Emplacement,Type_d'application,Force_du_signal,Latence,Satisfaction_des_utilisateurs,Vitesse_de_téléchargement,Débit_montant,Allocation_des_ressources,puissance_du_signal,inverse_latence,Performance_réseaux
2021-12-29 18:48:05,KFP39J87,"Chicago, IL",Streaming Vidéo,-51.63654974344499,91.4423764823992,4.0,0.7425449612040552,0.7911595477740181,0.5258755042501241,0.24028812266418087,0.040212730771014865,0.31436335515987024
2022-06-10 21:43:16,EI7W00GI,"Chicago, IL",Navigation Web,-30.48944307215291,157.17356510528683,4.0,0.8612164508863129,0.9295958771845796,0.6212348152683741,0.005126586673329436,0.016003897958294763,0.3587444687888388
2022-08-16 15:08:18,TGJTVO7S,"San Antonio, TX",Jeux en Ligne,-105.31464346838912,266.53250541024727,1.0,0.506464861115198,0.026855354990059734,0.6220271712119121,0.8372030181924155,0.002185618187616315,0.1311909230742125
2019-04-09 04:07:28,MZ1ZLTWK,,Visioconférence,-59.52990463383863,42.643446399838126,5.0,0.9136743711562957,0.5568677220873253,0.9719695442849524,0.3280643602837575,0.10645571257543616,0.33856267924603173
2022-11-27 05:35:37,J4OBHVPZ,"Dallas, TX",Jeux en Ligne,-60.372639972591074,84.73109702894142,3.0,0.6332066239446277,0.5733847216838025,0.7545622874946304,0.3374358047927044,0.044797783803629754,0.2555088101896347
2023-08-02 02:55:04,EGF96UNY,"San Jose, CA",Jeux en Ligne,-58.324413914709645,71.80345387404715,4.0,0.45754701476605086,0.6799356835405311,0.5800340560628379,0.31465897799957343,0.05604540198873935,0.2303884567197772
2019-03-11 09:04:54,DGJ2FNPS,"Houston, TX",Téléchargement de Fichiers,-115.06897868328798,134.2848316166302,3.0,0.11459175088007015,0.49655996052554413,0.4206322866877785,0.9456738594928589,0.021744331233452648,0.10856801460721233
2022-01-22 15:55:49,KW3VL05Y,"Houston, TX",Visioconférence,-101.6624972723196,173.53513847773,2.0,0.23683016935874077,0.5362267999494704,0.6390838853956449,0.7965901663975756,0.012828577895925716,0.1428487068060872
2019-11-17 10:25:50,TRB034BC,,Navigation Web,-98.91579309712353,150.00171959119334,3.0,0.600894857558614,0.22937113582258586,0.496042203626914,0.7660460743479314,0.01761411551680291,0.18903291364224212
2022-06-17 04:42:00,G7T4VMYD,"Philadelphia, PA",Réseaux Sociaux,-41.1825431901314,51.46671451259608,5.0,0.8772123494238563,0.9834141459320973,0.3638920308918505,0.1240367471664166,0.08517529681354132,0.388109033449164
2021-11-10 11:23:53,71ASK6CH,"Dallas, TX",Streaming Vidéo,-47.68524209049829,46.53229034376057,5.0,0.7527591982510418,0.7485468165710347,0.6902937174849428,0.1963485146940387,0.09608178614644518,0.32449226858502694
2023-03-11 18:47:59,BZX0R0VC,"New York, NY",Navigation Web,-31.14131297692313,39.19043887100176,5.0,0.9088233287018881,0.3829942134074201,0.22094039914728691,0.012375556021939071,0.11739261847997305,0.3140031188065783
2019-09-04 03:29:43,POFE5QYB,"Houston, TX",Streaming Musical,-101.99975989847536,105.24848378445353,5.0,0.5575361579200686,0.5963101370407794,0.36677757356274615,0.8003406178627288,0.032619313495411764,0.236985388409987
2023-11-11 03:24:56,8SNXVD4F,"San Jose, CA",Jeux en Ligne,-34.037690080026124,116.81905557099589,4.0,0.7780562018589564,0.9965879041521425,0.7919703842790057,0.044584051442216666,0.027637876334389178,0.3509117051711578
2022-11-09 16:35:58,FT9FLXL3,"Houston, TX",Streaming Vidéo,-34.77443318047264,49.23691394127274,5.0,0.9715886139146014,0.688306064179977,0.9011462015575519,0.0527768336428599,0.08983306775238328,0.3686013300437427
2023-10-04 13:19:54,66RR9ZIC,"Phoenix, AZ",Visioconférence,-37.63048343087324,112.73548808178865,4.0,0.605683586516452,0.5531784086167693,0.7572482683329212,0.0845368835726702,0.02927920204022943,0.24171745843168574
